Device Name,Device Address,RSSI,Details
2A:1D:C2:C9:8D:9E,2A:1D:C2:C9:8D:9E,-76,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCEB0>, scan=None)"
2A:CC:13:37:F1:07,2A:CC:13:37:F1:07,-82,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CC890>, scan=None)"
4A:85:DD:38:39:FE,4A:85:DD:38:39:FE,-80,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8025B2490>, scan=None)"
35:E8:3D:43:28:36,35:E8:3D:43:28:36,-84,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCE90>, scan=None)"
FF:3A:59:3F:87:4E,FF:3A:59:3F:87:4E,-80,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCBF0>, scan=None)"
E2:61:53:67:2A:2D,E2:61:53:67:2A:2D,-82,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCA90>, scan=None)"
6E:A8:5B:3E:80:42,6E:A8:5B:3E:80:42,-76,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCAB0>, scan=None)"
39:91:F8:CD:CF:53,39:91:F8:CD:CF:53,-82,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCF70>, scan=None)"
21:BC:3F:1E:96:1C,21:BC:3F:1E:96:1C,-74,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CD070>, scan=None)"
62:A0:1B:94:1C:56,62:A0:1B:94:1C:56,-80,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCB50>, scan=None)"
E1:9F:8A:B0:6A:C0,E1:9F:8A:B0:6A:C0,-68,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CC5F0>, scan=None)"
D8:36:CB:ED:E1:8B,D8:36:CB:ED:E1:8B,-70,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CC8B0>, scan=None)"
77:96:93:20:D5:50,77:96:93:20:D5:50,-70,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCDD0>, scan=None)"
46:CC:C6:7E:49:32,46:CC:C6:7E:49:32,-80,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCFD0>, scan=None)"
06:D2:05:DC:7F:6C,06:D2:05:DC:7F:6C,-50,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CCB70>, scan=None)"
393ANC_BLE,41:42:68:75:0F:98,-38,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CD290>, scan=None)"
0B:00:F6:02:43:1F,0B:00:F6:02:43:1F,-82,"_RawAdvData(adv=<winrt._winrt_windows_devices_bluetooth_advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x000001F8029CC930>, scan=None)"
