Device Name,Device Address,RSSI,Details,Discovery Time
4E:D1:DB:38:CB:B9,4E:D1:DB:38:CB:B9,-69,,2024-01-15 19:24:32
10:DD:F8:4C:4F:84,10:DD:F8:4C:4F:84,-74,,2024-01-15 19:24:32
39:D3:36:F9:EC:E9,39:D3:36:F9:EC:E9,-76,,2024-01-15 19:24:32
LE_WH-1000XM4,CA:69:21:E6:32:7C,-77,,2024-01-15 19:24:32
Echo Dot-FU0,63:8E:7D:B9:D4:0B,-77,,2024-01-15 19:24:32
42:7D:00:AE:43:14,42:7D:00:AE:43:14,-77,,2024-01-15 19:24:32
2A:26:25:02:7A:16,2A:26:25:02:7A:16,-78,,2024-01-15 19:24:32
60:BD:9B:80:D1:33,60:BD:9B:80:D1:33,-80,,2024-01-15 19:24:32
Bose Color II SoundLink,04:52:C7:B7:60:A5,-82,,2024-01-15 19:24:32
08:E0:57:3E:FF:FE,08:E0:57:3E:FF:FE,-85,,2024-01-15 19:24:32
26:5C:88:17:BE:48,26:5C:88:17:BE:48,-86,,2024-01-15 19:24:32
48:14:62:D0:6B:C7,48:14:62:D0:6B:C7,-86,,2024-01-15 19:24:32
6F:AE:A3:60:B0:75,6F:AE:A3:60:B0:75,-87,,2024-01-15 19:24:32
46:6D:BF:04:03:7E,46:6D:BF:04:03:7E,-87,,2024-01-15 19:24:32
CD:19:A1:A8:C9:D9,CD:19:A1:A8:C9:D9,-90,,2024-01-15 19:24:32
7D:15:0D:3A:75:6E,7D:15:0D:3A:75:6E,-90,,2024-01-15 19:24:32
5D:C4:11:B4:D7:75,5D:C4:11:B4:D7:75,-90,,2024-01-15 19:24:32
2B:E8:ED:B2:3F:37,2B:E8:ED:B2:3F:37,-91,,2024-01-15 19:24:32
08:C3:CA:4F:83:30,08:C3:CA:4F:83:30,-92,,2024-01-15 19:24:32
26:29:9F:B1:8F:B6,26:29:9F:B1:8F:B6,-92,,2024-01-15 19:24:32
EA:B3:BC:03:70:66,EA:B3:BC:03:70:66,-63,,2024-01-15 19:24:38
27:47:93:55:27:E6,27:47:93:55:27:E6,-90,,2024-01-15 19:24:38
F1:2C:53:60:7E:DA,F1:2C:53:60:7E:DA,-94,,2024-01-15 19:24:38
FD:24:EB:E7:4C:D4,FD:24:EB:E7:4C:D4,-56,,2024-01-15 19:24:44
F5:FC:DB:FA:47:56,F5:FC:DB:FA:47:56,-71,,2024-01-15 19:24:44
7F:90:B4:69:A9:DD,7F:90:B4:69:A9:DD,-79,,2024-01-15 19:25:02
FE:3A:10:4B:BF:9A,FE:3A:10:4B:BF:9A,-73,,2024-01-15 19:25:09
DF:D9:70:8C:68:79,DF:D9:70:8C:68:79,-81,,2024-01-15 19:25:09
HONOR Band 5-39D,20:DA:22:19:63:9D,-87,,2024-01-15 19:25:09
EE:F6:03:AB:B2:B5,EE:F6:03:AB:B2:B5,-80,,2024-01-15 19:25:15
6A:BA:74:C2:04:1C,6A:BA:74:C2:04:1C,-94,,2024-01-15 19:25:15
C9:F4:F4:44:9C:32,C9:F4:F4:44:9C:32,-89,,2024-01-15 19:25:21
E3:16:0E:3E:F9:A2,E3:16:0E:3E:F9:A2,-79,,2024-01-15 19:25:33
D8:1F:4D:06:81:AB,D8:1F:4D:06:81:AB,-94,,2024-01-15 19:25:33
B4:04:8C:59:C9:60,B4:04:8C:59:C9:60,-89,,2024-01-15 19:26:15
35:ED:5D:83:EB:82,35:ED:5D:83:EB:82,-89,,2024-01-15 19:26:21
57:24:07:4B:FF:E6,57:24:07:4B:FF:E6,-85,,2024-01-15 19:26:40
69:FB:15:40:FA:A4,69:FB:15:40:FA:A4,-85,,2024-01-15 19:26:40
60:C7:84:57:07:85,60:C7:84:57:07:85,-87,,2024-01-15 19:26:40
