Device Name,Device Address,RSSI,Details
4E:D1:DB:38:CB:B9,4E:D1:DB:38:CB:B9,-69,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07830>, scan=None)"
10:DD:F8:4C:4F:84,10:DD:F8:4C:4F:84,-74,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07D90>, scan=None)"
39:D3:36:F9:EC:E9,39:D3:36:F9:EC:E9,-76,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07610>, scan=None)"
LE_WH-1000XM4,CA:69:21:E6:32:7C,-77,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07DB0>, scan=None)"
Echo Dot-FU0,63:8E:7D:B9:D4:0B,-77,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07A30>, scan=None)"
42:7D:00:AE:43:14,42:7D:00:AE:43:14,-77,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0290>, scan=None)"
2A:26:25:02:7A:16,2A:26:25:02:7A:16,-78,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C079B0>, scan=None)"
60:BD:9B:80:D1:33,60:BD:9B:80:D1:33,-80,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07750>, scan=None)"
Bose Color II SoundLink,04:52:C7:B7:60:A5,-82,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C078F0>, scan=None)"
08:E0:57:3E:FF:FE,08:E0:57:3E:FF:FE,-85,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07AD0>, scan=None)"
