Device Name,Device Address,RSSI,Details
26:5C:88:17:BE:48,26:5C:88:17:BE:48,-86,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C052B0>, scan=None)"
48:14:62:D0:6B:C7,48:14:62:D0:6B:C7,-86,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C054F0>, scan=None)"
6F:AE:A3:60:B0:75,6F:AE:A3:60:B0:75,-87,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07970>, scan=None)"
46:6D:BF:04:03:7E,46:6D:BF:04:03:7E,-87,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE02D0>, scan=None)"
CD:19:A1:A8:C9:D9,CD:19:A1:A8:C9:D9,-90,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07C10>, scan=None)"
7D:15:0D:3A:75:6E,7D:15:0D:3A:75:6E,-90,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C07BB0>, scan=None)"
5D:C4:11:B4:D7:75,5D:C4:11:B4:D7:75,-90,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE00D0>, scan=None)"
2B:E8:ED:B2:3F:37,2B:E8:ED:B2:3F:37,-91,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0410>, scan=None)"
08:C3:CA:4F:83:30,08:C3:CA:4F:83:30,-92,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4C077F0>, scan=None)"
26:29:9F:B1:8F:B6,26:29:9F:B1:8F:B6,-92,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE04B0>, scan=None)"
EA:B3:BC:03:70:66,EA:B3:BC:03:70:66,-63,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0830>, scan=None)"
27:47:93:55:27:E6,27:47:93:55:27:E6,-90,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0AB0>, scan=None)"
F1:2C:53:60:7E:DA,F1:2C:53:60:7E:DA,-94,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0B70>, scan=None)"
FD:24:EB:E7:4C:D4,FD:24:EB:E7:4C:D4,-56,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0C90>, scan=None)"
F5:FC:DB:FA:47:56,F5:FC:DB:FA:47:56,-71,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0990>, scan=None)"
7F:90:B4:69:A9:DD,7F:90:B4:69:A9:DD,-79,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE1010>, scan=None)"
FE:3A:10:4B:BF:9A,FE:3A:10:4B:BF:9A,-73,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE17F0>, scan=None)"
DF:D9:70:8C:68:79,DF:D9:70:8C:68:79,-81,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE1130>, scan=None)"
HONOR Band 5-39D,20:DA:22:19:63:9D,-87,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE1570>, scan=None)"
EE:F6:03:AB:B2:B5,EE:F6:03:AB:B2:B5,-80,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE1A50>, scan=None)"
6A:BA:74:C2:04:1C,6A:BA:74:C2:04:1C,-94,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE1510>, scan=None)"
C9:F4:F4:44:9C:32,C9:F4:F4:44:9C:32,-89,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0EF0>, scan=None)"
E3:16:0E:3E:F9:A2,E3:16:0E:3E:F9:A2,-79,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0210>, scan=None)"
D8:1F:4D:06:81:AB,D8:1F:4D:06:81:AB,-94,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0B90>, scan=None)"
B4:04:8C:59:C9:60,B4:04:8C:59:C9:60,-89,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0090>, scan=None)"
35:ED:5D:83:EB:82,35:ED:5D:83:EB:82,-89,"_RawAdvData(adv=<_bleak_winrt_Windows_Devices_Bluetooth_Advertisement.BluetoothLEAdvertisementReceivedEventArgs object at 0x0000026AA4CE0890>, scan=None)"
