MAC_add,Timestamp
DF:F9:B1:94:23:7B,1711030711
1B:B8:CA:3C:B5:E0,1711030711
ED:07:BA:3D:AC:43,1711030711
DA:1F:C1:93:79:36,1711030711
2D:8E:5F:0D:0F:62,1711030711
06:EE:08:E5:B9:CB,1711030711
7D:D1:9C:C1:AF:49,1711030711
36:ED:C6:4C:10:70,1711030711
00:18:E5:04:56:19,1711030711
00:14:41:22:CE:7A,1711030711
34:F0:43:47:6A:5C,1711030711
41:42:11:A4:E5:AE,1711030711
58:A6:39:D7:EE:9B,1711030711
84:5F:04:4D:9B:91,1711030711
8C:64:A2:75:03:D7,1711030711
A2:5D:B6:45:56:56,1711030711
F8:5B:6E:5B:18:38,1711030711
D0:49:7C:9D:56:CC,1711030711
2D:8E:5F:0D:0F:62,1711030725
36:ED:C6:4C:10:70,1711030725
6D:F6:DF:4F:8E:C9,1711030725
2A:C8:68:28:CB:DB,1711030725
DF:F9:B1:94:23:7B,1711030725
1B:B8:CA:3C:B5:E0,1711030725
01:32:8D:D7:A2:CC,1711030725
04:52:C7:B7:60:A5,1711030725
04:52:C7:B7:60:A5,1711030725
00:18:E5:04:56:19,1711030725
00:14:41:22:CE:7A,1711030725
34:F0:43:47:6A:5C,1711030725
41:42:11:A4:E5:AE,1711030725
58:A6:39:D7:EE:9B,1711030725
84:5F:04:4D:9B:91,1711030725
8C:64:A2:75:03:D7,1711030725
A2:5D:B6:45:56:56,1711030725
F8:5B:6E:5B:18:38,1711030725
D0:49:7C:9D:56:CC,1711030725
36:ED:C6:4C:10:70,1711030743
06:EE:08:E5:B9:CB,1711030743
DF:F9:B1:94:23:7B,1711030743
01:32:8D:D7:A2:CC,1711030743
ED:07:BA:3D:AC:43,1711030743
00:18:E5:04:56:19,1711030743
00:14:41:22:CE:7A,1711030743
34:F0:43:47:6A:5C,1711030743
41:42:11:A4:E5:AE,1711030743
58:A6:39:D7:EE:9B,1711030743
84:5F:04:4D:9B:91,1711030743
8C:64:A2:75:03:D7,1711030743
A2:5D:B6:45:56:56,1711030743
F8:5B:6E:5B:18:38,1711030743
04:52:C7:B7:60:A5,1711030743
D0:49:7C:9D:56:CC,1711030743
36:ED:C6:4C:10:70,1711030796
2C:D0:D4:3E:14:9D,1711030796
2A:C8:68:28:CB:DB,1711030796
1B:B8:CA:3C:B5:E0,1711030796
DF:F9:B1:94:23:7B,1711030796
00:18:E5:04:56:19,1711030796
00:14:41:22:CE:7A,1711030796
34:F0:43:47:6A:5C,1711030796
41:42:11:A4:E5:AE,1711030796
58:A6:39:D7:EE:9B,1711030796
84:5F:04:4D:9B:91,1711030796
8C:64:A2:75:03:D7,1711030796
A2:5D:B6:45:56:56,1711030796
F8:5B:6E:5B:18:38,1711030796
D0:49:7C:9D:56:CC,1711030796
ED:07:BA:3D:AC:43,1711030811
2D:8E:5F:0D:0F:62,1711030811
33:4A:C2:AB:A6:9A,1711030811
2A:C8:68:28:CB:DB,1711030811
36:ED:C6:4C:10:70,1711030811
00:18:E5:04:56:19,1711030811
00:14:41:22:CE:7A,1711030811
34:F0:43:47:6A:5C,1711030811
41:42:11:A4:E5:AE,1711030811
58:A6:39:D7:EE:9B,1711030811
84:5F:04:4D:9B:91,1711030811
8C:64:A2:75:03:D7,1711030811
A2:5D:B6:45:56:56,1711030811
F8:5B:6E:5B:18:38,1711030811
D0:49:7C:9D:56:CC,1711030811
DF:F9:B1:94:23:7B,1711030825
06:EE:08:E5:B9:CB,1711030825
36:ED:C6:4C:10:70,1711030825
F8:71:29:12:0F:38,1711030825
1B:B8:CA:3C:B5:E0,1711030825
2D:8E:5F:0D:0F:62,1711030825
00:18:E5:04:56:19,1711030825
00:14:41:22:CE:7A,1711030825
34:F0:43:47:6A:5C,1711030825
