Data
""
FT: 0 FST: 8 SRC: 9a3ea43aa8b2 DEST: ffffffffffff RSSI: -38 SEQ: 8846 CHNL: 8 SSID: OPPO A77
FT: 0 FST: 8 SRC: 88b1e1283110 DEST: ffffffffffff RSSI: -71 SEQ: 15587 CHNL: 11 SSID: IITJMU_Guest
FT: 0 FST: 8 SRC: 88b1e1283111 DEST: ffffffffffff RSSI: -66 SEQ: 12049 CHNL: 11 SSID: IIT_JMU
FT: 0 FST: 8 SRC: 88b1e1283110 DEST: ffffffffffff RSSI: -65 SEQ: 15635 CHNL: 11 SSID: IITJMU_Guest
FT: 0 FST: 8 SRC: 88b1e1283111 DEST: ffffffffffff RSSI: -64 SEQ: 12097 CHNL: 11 SSID: IIT_JMU
FT: 0 FST: 8 SRC: 88b1e1283112 DEST: ffffffffffff RSSI: -64 SEQ: 4893 CHNL: 11 SSID: IIT_JAMMU
FT: 1 FST: 9 SRC: 88b1e12218b2 DEST: 724a7415a4aa RSSI: -91 SEQ: 0 CHNL: 0
FT: 0 FST: 5 SRC: 88b1e1283111 DEST: 4215576e8405 RSSI: -72 SEQ: 8081 CHNL: 11 SSID: IIT_JMU
FT: 0 FST: 5 SRC: 88b1e1283111 DEST: 4215576e8405 RSSI: -66 SEQ: 8081 CHNL: 11 SSID: IIT_JMU
FT: 0 FST: 8 SRC: 88b1e1283110 DEST: ffffffffffff RSSI: -65 SEQ: 15683 CHNL: 11 SSID: IITJMU_Guest
FT: 0 FST: 8 SRC: 88b1e1283111 DEST: ffffffffffff RSSI: -64 SEQ: 12193 CHNL: 11 SSID: IIT_JMU
FT: 0 FST: 8 SRC: 88b1e1283112 DEST: ffffffffffff RSSI: -64 SEQ: 4941 CHNL: 11 SSID: IIT_JAMMU
FT: 0 FST: 8 SRC: 88b1e1283110 DEST: ffffffffffff RSSI: -65 SEQ: 15731 CHNL: 11 SSID: IITJMU_Guest
FT: 0 FST: 8 SRC: 88b1e1283111 DEST: ffffffffffff RSSI: -64 SEQ: 12240 CHNL: 11 SSID: IIT_JMU
FT: 0 FST: 8 SRC: 88b1e1283112 DEST: ffffffffffff RSSI: -63 SEQ: 4989 CHNL: 11 SSID: IIT_JAMMU
FT: 0 FST: 8 SRC: 88b1e1283110 DEST: ffffffffffff RSSI: -66 SEQ: 15779 CHNL: 11 SSID: IITJMU_Guest
FT: 0 FST: 8 SRC: 88b1e1283112 DEST: ffffffffffff RSSI: -67 SEQ: 5037 CHNL: 11 SSID: IIT_JAMMU
FT: 2 FST: 0 SRC: 88b1e1283111 DEST: ffffffffffff RSSI: -67 SEQ: 37230 CHNL: 0
FT: 0 FST: 8 SRC: 88b1e1283110 DEST: ffffffffffff RSSI: -66 SEQ: 15826 CHNL: 11 SSID: IITJMU_Guest
FT: 0 FST: 8 SRC: 88b1e1283111 DEST: ffffffffffff RSSI: -66 SEQ: 12336 CHNL: 11 SSID: IIT_JMU
FT: 0 FST: 8 SRC: 88b1e1283112 DEST: ffffffffffff RSSI: -66 SEQ: 5085 CHNL: 11 SSID: IIT_JAMMU
FT: 0 FST: 8 SRC: 9a3ea43aa8b2 DEST: ffffffffffff RSSI: -37 SEQ: 9101 CHNL: 8 SSID: OPPO A77
FT: 1 FST: 9 SRC: 88b1e12218b2 DEST: 724a7415a4aa RSSI: -91 SEQ: 0 CHNL: 0
FT: 0 FST: 8 SRC: 9a3ea43aa8b2 DEST: ffffffffffff RSSI: -35 SEQ: 9149 CHNL: 8 SSID: OPPO A77
FT: 0 FST: 8 SRC: 9a3ea43aa8b2 DEST: ffffffffffff RSSI: -38 SEQ: 9196 CHNL: 8 SSID: OPPO A77
FT: 0 FST: 8 SRC: 88b1e1283111 DEST: ffffffffffff RSSI: -65 SEQ: 12448 CHNL: 11 SSID: IIT_JMU
FT: 0 FST: 8 SRC: 88b1e1283112 DEST: ffffffffffff RSSI: -66 SEQ: 5196 CHNL: 11 SSID: IIT_JAMMU
FT: 1 FST: 9 SRC: 88b1e12218b2 DEST: 724a7415a4aa RSSI: -91 SEQ: 0 CHNL: 0
FT: 0 FST: 8 SRC: 88b1e1283111 DEST: ffffffffffff RSSI: -64 SEQ: 12495 CHNL: 11 SSID: IIT_JMU
FT: 0 FST: 8 SRC: 88b1e1283112 DEST: ffffffffffff RSSI: -65 SEQ: 5244 CHNL: 11 SSID: IIT_JAMMU
FT: 0 FST: 8 SRC: ae372847b189 DEST: ffffffffffff RSSI: -92 SEQ: 43048 CHNL: 10
FT: 0 FST: 8 SRC: 88b1e1283110 DEST: ffffffffffff RSSI: -67 SEQ: 16034 CHNL: 11 SSID: IITJMU_Guest
