_id,MAC_add,chais[0],chais[1],chais[2],chais[3],chais[4],chais[5],chais[6],chais[7],chais[8],chais[9],chais[10],chais[11],chais[12],chais[13],chais[14],chais[15],chais[16],chais[17],chais[18],chais[19],chais[20],chais[21],chais[22],chais[23],chais[24],chais[25],neon[0],neon[1],neon[2],neon[3],neon[4],neon[5],neon[6],neon[7]
6644859d37bb5756e82c11f2,38:6F:6B:29:E4:8A,2024-04-06 13:16:22,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:16:09,,,,,,,
6644859d37bb5756e82c11f3,41:42:CB:22:C0:26,2024-04-06 13:16:22,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:17:00,,,,,,,
6644859d37bb5756e82c11f4,F0:62:5A:AD:21:7E,2024-04-06 13:16:22,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:17:00,,,,,,,
6644859d37bb5756e82c11f5,40:45:DA:8C:EA:E9,2024-04-06 13:17:35,2024-04-06 13:18:03,2024-04-06 14:00:09,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:56:29,2024-04-06 14:00:33,,,,,,
6644859d37bb5756e82c11f6,48:74:12:40:38:EA,2024-04-06 13:18:03,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:18:26,,,,,,,
6644859d37bb5756e82c11f7,10:82:D7:2C:EE:14,2024-04-06 13:19:35,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:19:17,,,,,,,
6644859d37bb5756e82c11f8,30:BB:7D:C3:A2:80,2024-04-06 13:20:02,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:20:21,,,,,,,
6644859d37bb5756e82c11f9,71:AF:F7:FD:ED:BD,2024-04-06 13:20:31,2024-04-06 13:20:59,2024-04-06 13:21:27,2024-04-06 13:21:53,2024-04-06 13:22:19,2024-04-06 13:22:50,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:23:40,,,,,,,
6644859d37bb5756e82c11fa,10:F6:05:BA:C2:12,2024-04-06 13:26:39,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:22:00,,,,,,,
6644859d37bb5756e82c11fb,58:7A:6A:BE:BD:32,2024-04-06 13:23:46,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:23:18,,,,,,,
6644859d37bb5756e82c11fc,9E:12:63:8C:42:41,2024-04-06 13:24:00,2024-04-06 13:24:12,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:24:47,,,,,,,
6644859d37bb5756e82c11fd,BC:E8:FA:E7:FD:BA,2024-04-06 13:24:12,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:24:47,,,,,,,
6644859d37bb5756e82c11fe,2C:D0:66:B1:05:92,2024-04-06 13:24:38,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:24:22,,,,,,,
6644859d37bb5756e82c11ff,D4:D7:CF:FB:A2:8E,2024-04-06 13:25:06,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:24:47,,,,,,,
6644859d37bb5756e82c1200,B0:46:92:6F:53:50,2024-04-06 13:24:38,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:25:38,,,,,,,
6644859d37bb5756e82c1201,40:44:FD:3D:74:60,2024-04-06 13:28:49,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:28:40,,,,,,,
6644859d37bb5756e82c1202,41:42:E9:2B:54:23,2024-04-06 13:29:54,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:29:29,,,,,,,
6644859d37bb5756e82c1203,5F:D3:B0:20:78:FE,2024-04-06 13:29:30,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:29:57,,,,,,,
6644859d37bb5756e82c1204,41:42:E9:2B:54:76,2024-04-06 13:30:07,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:29:44,,,,,,,
6644859d37bb5756e82c1205,F8:AD:24:B4:89:F4,2024-04-06 13:30:37,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:30:11,,,,,,,
6644859d37bb5756e82c1206,90:DF:7D:52:9B:90,2024-04-06 13:30:07,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:30:48,,,,,,,
6644859d37bb5756e82c1207,20:CD:6E:7E:B5:DA,2024-04-06 13:30:07,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:30:48,,,,,,,
6644859d37bb5756e82c1208,48:C4:61:A8:52:56,2024-04-06 13:30:37,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:31:14,,,,,,,
6644859d37bb5756e82c1209,41:42:00:00:00:91,2024-04-06 13:32:51,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:33:26,,,,,,,
6644859d37bb5756e82c120a,D0:5A:FD:B0:A4:4A,2024-04-06 13:32:51,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:33:26,,,,,,,
6644859d37bb5756e82c120b,94:B2:CC:4D:C3:92,2024-04-06 13:33:19,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:33:52,,,,,,,
6644859d37bb5756e82c120c,C1:06:06:F7:9E:3A,2024-04-06 13:33:45,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:55:45,,,,,,,
6644859d37bb5756e82c120d,5C:17:CF:FD:C0:0D,2024-04-06 13:35:20,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:35:08,,,,,,,
6644859d37bb5756e82c120e,41:42:00:00:00:18,2024-04-06 13:35:47,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:36:10,,,,,,,
6644859d37bb5756e82c120f,21:3A:B2:5C:63:7C,2024-04-06 13:36:53,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:36:19,,,,,,,
6644859d37bb5756e82c1210,40:45:DA:57:D9:C9,2024-04-06 13:37:06,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:36:35,,,,,,,
6644859d37bb5756e82c1211,5D:AB:84:E6:62:61,2024-04-06 13:37:06,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:37:48,,,,,,,
6644859d37bb5756e82c1212,F3:3E:23:04:E6:7D,2024-04-06 13:39:32,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:39:00,,,,,,,
6644859d37bb5756e82c1213,87:10:78:F0:C5:64,2024-04-06 13:40:27,2024-04-06 13:43:23,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:39:00,2024-04-06 13:39:25,2024-04-06 13:44:47,2024-04-06 13:45:13,2024-04-06 13:45:34,,,
6644859d37bb5756e82c1214,5C:A0:6C:A3:5D:50,2024-04-06 13:39:03,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:39:25,,,,,,,
6644859d37bb5756e82c1215,D0:97:FE:43:2B:2A,2024-04-06 13:40:27,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:40:10,,,,,,,
6644859d37bb5756e82c1216,E4:8C:73:4F:88:28,2024-04-06 13:40:27,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:41:11,,,,,,,
6644859d37bb5756e82c1217,38:8A:BE:78:43:BC,2024-04-06 13:42:29,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:42:09,,,,,,,
6644859d37bb5756e82c1218,73:2C:A8:26:7D:85,2024-04-06 13:43:10,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:42:22,,,,,,,
6644859d37bb5756e82c1219,F0:62:5A:A9:6C:E6,2024-04-06 13:42:29,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:42:56,,,,,,,
6644859d37bb5756e82c121a,1C:C3:EB:04:BA:7A,2024-04-06 13:42:29,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:42:56,,,,,,,
6644859d37bb5756e82c121b,04:7F:0E:8D:2A:A5,2024-04-06 13:43:10,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:43:52,,,,,,,
6644859d37bb5756e82c121c,40:45:DA:62:04:E5,2024-04-06 13:45:24,2024-04-06 13:45:47,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:44:09,,,,,,,
6644859d37bb5756e82c121d,F0:62:5A:79:95:22,2024-04-06 13:44:07,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:44:47,,,,,,,
6644859d37bb5756e82c121e,40:45:DA:D1:4C:FE,2024-04-06 13:45:03,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:45:34,,,,,,,
6644859d37bb5756e82c121f,E4:8C:73:B2:18:5C,2024-04-06 13:46:29,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:45:59,,,,,,,
6644859d37bb5756e82c1220,AC:C0:48:13:93:FA,2024-04-06 13:46:08,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:46:43,,,,,,,
6644859d37bb5756e82c1221,43:A6:63:CB:B0:45,2024-04-06 13:46:17,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:47:35,,,,,,,
6644859d37bb5756e82c1222,D0:49:7C:B3:05:A8,2024-04-06 13:47:53,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:48:20,,,,,,,
6644859d37bb5756e82c1223,41:42:9B:C1:D1:79,2024-04-06 13:50:38,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:51:19,,,,,,,
6644859d37bb5756e82c1224,05:33:3B:D1:CD:EA,2024-04-06 13:51:01,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:51:40,,,,,,,
6644859d37bb5756e82c1225,A4:CC:B9:DB:D2:5A,2024-04-06 13:53:17,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:53:44,,,,,,,
6644859d37bb5756e82c1226,7A:45:46:00:00:73,2024-04-06 13:54:30,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:53:44,,,,,,,
6644859d37bb5756e82c1227,94:8A:C6:7C:46:7A,2024-04-06 13:54:04,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:53:44,,,,,,,
6644859d37bb5756e82c1228,46:AD:00:F6:37:23,2024-04-06 13:53:51,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:54:42,,,,,,,
6644859d37bb5756e82c1229,58:D6:97:01:09:D8,2024-04-06 13:55:42,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:55:19,,,,,,,
6644859d37bb5756e82c122a,00:88:00:EB:4B:2A,2024-04-06 13:55:42,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:56:08,,,,,,,
6644859d37bb5756e82c122b,41:42:C7:87:1F:DC,2024-04-06 13:58:44,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:59:15,,,,,,,
6644859d37bb5756e82c122c,D0:28:BA:1B:97:A4,2024-04-06 13:59:40,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 13:59:15,,,,,,,
6644859d37bb5756e82c122d,85:92:5D:6A:A3:57,2024-04-06 14:00:09,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:00:33,,,,,,,
6644859d37bb5756e82c122e,40:44:FD:76:33:AE,2024-04-06 14:01:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:01:12,,,,,,,
6644859d37bb5756e82c122f,40:45:DA:4E:6D:B7,2024-04-06 14:01:12,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:01:38,,,,,,,
6644859d37bb5756e82c1230,B4:A5:AC:48:B6:0E,2024-04-06 14:01:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:02:03,,,,,,,
6644859d37bb5756e82c1231,B1:4C:28:5F:73:2F,2024-04-06 14:01:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:02:03,,,,,,,
6644859d37bb5756e82c1232,2C:A7:EF:87:63:BC,2024-04-06 14:01:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:02:03,,,,,,,
6644859d37bb5756e82c1233,E4:0C:FD:E4:28:B0,2024-04-06 14:02:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:02:54,,,,,,,
6644859d37bb5756e82c1234,10:82:D7:96:73:0E,2024-04-06 14:02:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:02:54,,,,,,,
6644859d37bb5756e82c1235,04:33:85:1E:C9:2F,2024-04-06 14:02:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:02:54,,,,,,,
6644859d37bb5756e82c1236,30:BB:7D:D6:E7:FE,2024-04-06 14:02:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:02:54,,,,,,,
6644859d37bb5756e82c1237,FC:04:1C:DC:C8:8E,2024-04-06 14:02:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:02:54,,,,,,,
6644859d37bb5756e82c1238,20:CD:6E:35:67:FC,2024-04-06 14:02:34,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:02:54,,,,,,,
6644859d37bb5756e82c1239,40:45:DA:87:78:05,2024-04-06 14:03:07,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:05:04,,,,,,,
6644859d37bb5756e82c123a,40:45:DA:10:C1:4C,2024-04-06 14:03:58,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:04:20,,,,,,,
6644859d37bb5756e82c123b,41:42:EC:FA:B2:EA,2024-04-06 14:03:58,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06 14:04:45,,,,,,,
