_id,MAC_add,neon[0],neon[1],neon[2],neon[3],neon[4],neon[5],neon[6],neon[7],chais[0],chais[1],chais[2],chais[3],chais[4],chais[5],chais[6],chais[7],chais[8],chais[9],chais[10],chais[11],chais[12],chais[13],chais[14],chais[15],chais[16],chais[17],chais[18],chais[19],chais[20],chais[21],chais[22],chais[23],chais[24],chais[25]
26b36910039d4b2ab9d55a1a,2C:D0:66:B1:05:92,1712390062,,,,,,,,1712390078,,,,,,,,,,,,,,,,,,,,,,,,,
666ea94847ef47c390b8a1b0,D4:D7:CF:FB:A2:8E,1712390087,,,,,,,,1712390106,,,,,,,,,,,,,,,,,,,,,,,,,
d200ffaa875246948252b9fb,B0:46:92:6F:53:50,1712390138,,,,,,,,1712390078,,,,,,,,,,,,,,,,,,,,,,,,,
5bc6303aa4ab481fa71b5dc1,40:44:FD:3D:74:60,1712390320,,,,,,,,1712390329,,,,,,,,,,,,,,,,,,,,,,,,,
02c1ba6ba36f4d029834226c,41:42:E9:2B:54:23,1712390369,,,,,,,,1712390394,,,,,,,,,,,,,,,,,,,,,,,,,
8801aa3d18984a8cb7252660,5F:D3:B0:20:78:FE,1712390397,,,,,,,,1712390370,,,,,,,,,,,,,,,,,,,,,,,,,
d7ce72dfc01f4f01a1f835b2,41:42:E9:2B:54:76,1712390384,,,,,,,,1712390407,,,,,,,,,,,,,,,,,,,,,,,,,
6861cbebdf7b468c8eccfc99,F8:AD:24:B4:89:F4,1712390411,,,,,,,,1712390437,,,,,,,,,,,,,,,,,,,,,,,,,
44319858ed8040529caee760,90:DF:7D:52:9B:90,1712390448,,,,,,,,1712390407,,,,,,,,,,,,,,,,,,,,,,,,,
5374d8a9e6f44599a3d728d2,20:CD:6E:7E:B5:DA,1712390448,,,,,,,,1712390407,,,,,,,,,,,,,,,,,,,,,,,,,
9e09bb03e1834b099e8ee5e6,48:C4:61:A8:52:56,1712390474,,,,,,,,1712390437,,,,,,,,,,,,,,,,,,,,,,,,,
fe8c4e3018f04f61a78738ed,41:42:00:00:00:91,1712390606,,,,,,,,1712390571,,,,,,,,,,,,,,,,,,,,,,,,,
12cfac3351af4bb5a645f343,D0:5A:FD:B0:A4:4A,1712390606,,,,,,,,1712390571,,,,,,,,,,,,,,,,,,,,,,,,,
701228f8557448a59f4d1535,94:B2:CC:4D:C3:92,1712390632,,,,,,,,1712390599,,,,,,,,,,,,,,,,,,,,,,,,,
ebfacde44a3b41568923ab02,C1:06:06:F7:9E:3A,1712391945,,,,,,,,1712390625,,,,,,,,,,,,,,,,,,,,,,,,,
2fe0b9deed1e41819eee5c93,5C:17:CF:FD:C0:0D,1712390708,,,,,,,,1712390720,,,,,,,,,,,,,,,,,,,,,,,,,
4f09d785407640418e5806d5,41:42:00:00:00:18,1712390770,,,,,,,,1712390747,,,,,,,,,,,,,,,,,,,,,,,,,
e36bf1f521084211b3315f3c,21:3A:B2:5C:63:7C,1712390779,,,,,,,,1712390813,,,,,,,,,,,,,,,,,,,,,,,,,
