_id,MAC_add,chais[0],chais[1],chais[2],chais[3],chais[4],chais[5],chais[6],chais[7],chais[8],chais[9],chais[10],chais[11],chais[12],chais[13],chais[14],chais[15],chais[16],chais[17],chais[18],chais[19],chais[20],chais[21],chais[22],chais[23],chais[24],chais[25],neon[0],neon[1],neon[2],neon[3],neon[4],neon[5],neon[6],neon[7]
6610ffadb0295f78c6f4d4e4,BC:E8:FA:E7:FD:BA,1712390052,,,,,,,,,,,,,,,,,,,,,,,,,,1712390087,,,,,,,
6610ffb50895a6b7f2a126f2,2C:D0:66:B1:05:92,1712390078,,,,,,,,,,,,,,,,,,,,,,,,,,1712390062,,,,,,,
6610ffc90895a6b7f2a126f4,D4:D7:CF:FB:A2:8E,1712390106,,,,,,,,,,,,,,,,,,,,,,,,,,1712390087,,,,,,,
6610ffc7b0295f78c6f4d4e5,B0:46:92:6F:53:50,1712390078,,,,,,,,,,,,,,,,,,,,,,,,,,1712390138,,,,,,,
661100be0895a6b7f2a1270b,40:44:FD:3D:74:60,1712390329,,,,,,,,,,,,,,,,,,,,,,,,,,1712390320,,,,,,,
661100f30895a6b7f2a12714,41:42:E9:2B:54:23,1712390394,,,,,,,,,,,,,,,,,,,,,,,,,,1712390369,,,,,,,
661100f0b0295f78c6f4d4f7,5F:D3:B0:20:78:FE,1712390370,,,,,,,,,,,,,,,,,,,,,,,,,,1712390397,,,,,,,
661100f50895a6b7f2a12716,41:42:E9:2B:54:76,1712390407,,,,,,,,,,,,,,,,,,,,,,,,,,1712390384,,,,,,,
6611010e0895a6b7f2a1271c,F8:AD:24:B4:89:F4,1712390437,,,,,,,,,,,,,,,,,,,,,,,,,,1712390411,,,,,,,
6611010cb0295f78c6f4d4fb,90:DF:7D:52:9B:90,1712390407,,,,,,,,,,,,,,,,,,,,,,,,,,1712390448,,,,,,,
66110116b0295f78c6f4d4fc,20:CD:6E:7E:B5:DA,1712390407,,,,,,,,,,,,,,,,,,,,,,,,,,1712390448,,,,,,,
66110128b0295f78c6f4d4fd,48:C4:61:A8:52:56,1712390437,,,,,,,,,,,,,,,,,,,,,,,,,,1712390474,,,,,,,
661101afb0295f78c6f4d507,41:42:00:00:00:91,1712390571,,,,,,,,,,,,,,,,,,,,,,,,,,1712390606,,,,,,,
661101b8b0295f78c6f4d509,D0:5A:FD:B0:A4:4A,1712390571,,,,,,,,,,,,,,,,,,,,,,,,,,1712390606,,,,,,,
661101d1b0295f78c6f4d50c,94:B2:CC:4D:C3:92,1712390599,,,,,,,,,,,,,,,,,,,,,,,,,,1712390632,,,,,,,
661101ecb0295f78c6f4d50d,C1:06:06:F7:9E:3A,1712390625,,,,,,,,,,,,,,,,,,,,,,,,,,1712391945,,,,,,,
661102380895a6b7f2a12746,5C:17:CF:FD:C0:0D,1712390720,,,,,,,,,,,,,,,,,,,,,,,,,,1712390708,,,,,,,
6611025fb0295f78c6f4d512,41:42:00:00:00:18,1712390747,,,,,,,,,,,,,,,,,,,,,,,,,,1712390770,,,,,,,
6611028e0895a6b7f2a12752,21:3A:B2:5C:63:7C,1712390813,,,,,,,,,,,,,,,,,,,,,,,,,,1712390779,,,,,,,
